datetime,Global CMP22 (vent/cor) [W/m^2],Global UVB-1 [W/m^2],Global 90-West PSP [W/m^2],Direct CUVB2 [W/m^2],day_of_year,sin_doy,cos_doy,hour,sin_hour,cos_hour,Global CMP22 (vent/cor) [W/m^2]_lag1
2019-09-19 16:00:00,233.57271166666663,0.1074333333333333,450.36740333333336,0.0619333333333333,262,-0.9796136916454901,-0.20089055513063528,16,-0.8660254037844385,-0.5000000000000004,351.88869
2019-09-19 17:00:00,15.275103166666668,0.0146666666666666,10.487619033333337,-0.0001333333333333,262,-0.9796136916454901,-0.20089055513063528,17,-0.9659258262890683,-0.25881904510252063,233.57271166666663
2019-09-19 18:00:00,2.85659,0.0,0.213286,-0.001,262,-0.9796136916454901,-0.20089055513063528,18,-1.0,-1.8369701987210297e-16,15.275103166666668
2019-09-20 05:00:00,10.06476,0.0007272727272727,4.039682727272727,-0.0005454545454545,263,-0.9829265519799822,-0.18399835165767986,5,0.9659258262890683,0.25881904510252074,2.85659
2019-09-20 06:00:00,103.08606333333334,0.0238833333333333,42.70177833333333,0.0274333333333333,263,-0.9829265519799822,-0.18399835165767986,6,1.0,6.123233995736766e-17,10.06476
2019-09-20 07:00:00,304.03841666666665,0.1541333333333333,80.31484833333334,0.18225,263,-0.9829265519799822,-0.18399835165767986,7,0.9659258262890683,-0.25881904510252063,103.08606333333334
2019-09-20 08:00:00,504.4822,0.4385333333333333,100.53078166666666,0.4113666666666666,263,-0.9829265519799822,-0.18399835165767986,8,0.8660254037844387,-0.4999999999999998,304.03841666666665
2019-09-20 09:00:00,672.3701166666667,0.8167833333333333,113.70633333333332,0.6682833333333333,263,-0.9829265519799822,-0.18399835165767986,9,0.7071067811865476,-0.7071067811865475,504.4822
2019-09-20 10:00:00,792.8823166666666,1.1631833333333332,121.40043333333332,0.8739333333333333,263,-0.9829265519799822,-0.18399835165767986,10,0.49999999999999994,-0.8660254037844387,672.3701166666667
2019-09-20 11:00:00,851.65975,1.3572333333333333,128.14988333333335,0.97225,263,-0.9829265519799822,-0.18399835165767986,11,0.258819045102521,-0.9659258262890682,792.8823166666666
2019-09-20 12:00:00,853.5315333333333,1.3383333333333334,260.0554333333333,0.9687,263,-0.9829265519799822,-0.18399835165767986,12,1.2246467991473532e-16,-1.0,851.65975
2019-09-20 13:00:00,792.2133,1.112866666666667,512.1582999999999,0.8327166666666667,263,-0.9829265519799822,-0.18399835165767986,13,-0.2588190451025208,-0.9659258262890683,853.5315333333333
2019-09-20 14:00:00,443.8833166666666,0.58995,453.58065,0.3179666666666667,263,-0.9829265519799822,-0.18399835165767986,14,-0.4999999999999997,-0.8660254037844388,792.2133
2019-09-20 15:00:00,469.54615,0.3681166666666666,814.1193000000001,0.3436,263,-0.9829265519799822,-0.18399835165767986,15,-0.7071067811865471,-0.7071067811865479,443.8833166666666
2019-09-20 16:00:00,265.067425,0.1177,795.1695833333334,0.1469666666666666,263,-0.9829265519799822,-0.18399835165767986,16,-0.8660254037844385,-0.5000000000000004,469.54615
2019-09-20 17:00:00,20.328234666666667,0.0146666666666666,28.26520833333333,0.0007166666666666,263,-0.9829265519799822,-0.18399835165767986,17,-0.9659258262890683,-0.25881904510252063,265.067425
2019-09-21 05:00:00,13.496367,0.0002,7.220661,-0.0003,264,-0.9859481499638303,-0.1670516255021195,5,0.9659258262890683,0.25881904510252074,20.328234666666667
2019-09-21 06:00:00,99.59910166666668,0.0202833333333333,41.49572166666667,0.0210333333333333,264,-0.9859481499638303,-0.1670516255021195,6,1.0,6.123233995736766e-17,13.496367
